Name,Description,Expected Release Day,Original Release Date,Characters,DLCs,Concepts,Franchises,Genres,Regions,Releases
Rust,"<h2>Overview</h2><p>Rust is a game from <a href=""//www.giantbomb.com/facepunch-studios/3010-6265/"" data-ref-id=""3010-6265"">Facepunch Studios</a>, the creators of <a href=""//www.giantbomb.com/garrys-mod/3030-20617/"" data-ref-id=""3030-20617"">Garry's Mod</a> that was first released on Steam Early Access on December 11, 2013. It was fully released on February 8, 2018, and playable on <a href=""//www.giantbomb.com/pc/3045-94/"" data-ref-id=""3045-94"">PC</a>, <a href=""//www.giantbomb.com/mac/3045-17/"" data-ref-id=""3045-17"">Mac</a> and <a href=""/linux/3045-152/"" data-ref-id=""3045-152"">Linux</a>. The game is a first-person survival title in which the player must start from scratch, with nothing but a rock to serve as a resource gathering tool and weapon, and attempt to survive in a harsh, irradiated wilderness populated with wild animals and other players. In it's initial state Rust was heavily inspired by Day-Z so far as including zombies as enemies, however in February 2014 the zombies were removed and replaced with bears.</p><p>Official Website: <a href=""http://playrust.com/"" rel=""nofollow "">http://playrust.com/</a></p><p>In May 2021 Rust Console Edition launched on Xbox One and PS4. It was developed and published for Console by UK development studio Double Eleven.</p><h2>System Requirements</h2><h3>PC</h3><h4>Minimum</h4><ul><li><strong>OS:</strong> Windows 7 64bit</li><li><strong>Processor:</strong> 2 ghz</li><li><strong>Memory:</strong> 8 GB RAM</li><li><strong>DirectX:</strong> Version 9.0</li><li><strong>Hard Drive:</strong> 8 GB available space</li></ul><h4>Recommended</h4><ul><li><strong>OS:</strong> Windows 10 64bit</li><li><strong>Processor:</strong> 3 ghz</li><li><strong>Memory:</strong> 16 GB RAM</li><li><strong>Graphics: </strong>Nvidia GTX 980</li><li><strong>DirectX:</strong> Version 12</li><li><strong>Network:</strong> Broadband Internet connection</li><li><strong>Hard Drive:</strong> 10 GB available space</li></ul><h3>Mac</h3><h4>Minimum</h4><ul><li><strong>OS:</strong> OS X Lion 10.7</li><li><strong>Processor:</strong> 2 ghz</li><li><strong>Memory:</strong> 8 GB RAM</li><li><strong>Storage: </strong>2 GB available space</li></ul><h4>Recommended</h4><ul><li><strong>OS:</strong> OS X Mavericks</li><li><strong>Processor:</strong> 3 ghz</li><li><strong>Memory:</strong> 8 GB RAM</li></ul><h3>SteamOS + Linux</h3><h4>Minimum</h4><ul><li><strong>Memory: </strong>8 GB RAM</li><li><strong>Storage:</strong> 8 GB available space</li></ul>",,,,,,,,,
Rust Bucket,"<p>This game is an endless dungeon crawler which pits the unnamed hero against monsters with varying patterns and mechanics.</p><p> </p><h2>Controls</h2><p>The single method of control is swiping in one of four directions, which serves as both movement and attacking, depending on the context.</p><p> </p><h2>Modes</h2><h4>Tutorial</h4><p>The tutorial is comprised of 10 tutorial stages which slowly introduce new mechanics.</p><h4>Endless</h4><p>This mode is comprised of procedurally generated ""rooms"" with a ramping difficulty.</p>",,,,,,,,,
The Rust Belt,,,,,,,,,,
Sniper Rust VR,,,,,,,,,,
Rust Buccaneers,,,,,,,,,,
Rust Racers 2D,<p>Rust Racers 2D is a light-hearted melee brawler based around hauling ass across structurally unsound platforms pushing and smashing other players off the grid.</p><p>The first iteration of Rust Racers was a modification for the popular sandbox game Garry's Mod in 2016.</p>,,,,,,,,,
Cosmic Dust & Rust,<p> Available for purchase on Steam for 0.99USD and features Steam Trading Cards.</p>,,,,,,,,,
Sand and Rust,,,,,,,,,,
From Rust,,,,,,,,,,
Temple of Rust,,,,,,,,,,
Rust Racers,,,,,,,,,,
